time_s,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.004700000000000299,0.0077982365405127535,0.000894665334850768,0.00028673210350136323,0.0030634129779943675,0.0036624418694767356,0.1988243953203871,4.936396891905689e-07,4.9754170645675347e-08,0.0,0.785469572459417
0.0047010000000002996,0.007798066977921142,0.000894624743543199,0.0002867194589455902,0.00306334260426752,0.00366236898866001,0.1988246509902567,4.936231875921508e-07,4.975309547922295e-08,0.0,0.7854696828601229
0.0047020000000003,0.0077978975594873625,0.000894584187823423,0.00028670682546904155,0.0030632722904870634,0.0036622961697580585,0.1988249064420443,4.93606700272609e-07,4.9752021227389023e-08,0.0,0.7854697931662091
0.0047030000000003,0.007797728285083678,0.0008945436676580979,0.0002866942030613482,0.0030632020365996856,0.0036622234127160996,0.19882516167594455,4.93590227218877e-07,4.975094788936223e-08,0.0,0.7854699033777613
0.0047040000000003,0.007797559154582476,0.0008945031830139169,0.00028668159171215177,0.0030631318425521255,0.0036621507174794,0.19882541669215162,4.935737684179013e-07,4.9749875464331976e-08,0.0,0.7854700134948644
0.0047050000000003,0.0077973901678562545,0.000894462733857606,0.0002866689914111042,0.00306306170829117,0.0036620780839932746,0.1988256714908595,4.935573238566416e-07,4.9748803951488426e-08,0.0,0.7854701235176033
0.0047060000000003,0.007797221324777644,0.0008944223201559268,0.00028665640214786843,0.003062991633763659,0.003662005512203095,0.19882592607226227,4.935408935220705e-07,4.974773335002253e-08,0.0,0.7854702334460626
0.0047070000000003,0.00779705262521939,0.000894381941875675,0.000286643823912118,0.0030629216189164837,0.00366193300205428,0.19882618043655345,4.935244774011742e-07,4.9746663659126024e-08,0.0,0.7854703432803276
0.0047080000000003005,0.0077968840690543564,0.00089434159898368,0.00028663125669353695,0.0030628516636965844,0.003661860553492302,0.1988264345839266,4.935080754809511e-07,4.9745594877991416e-08,0.0,0.7854704530204826
0.004709000000000301,0.007796715656155537,0.0008943012914468068,0.0002866187004818201,0.003062781768050954,0.0036617881664626852,0.19882668851457516,4.934916877484133e-07,4.974452700581198e-08,0.0,0.7854705626666123
0.004710000000000301,0.007796547386396037,0.0008942610192319532,0.00028660615526667274,0.003062711931926635,0.0036617158409110034,0.19882694222869218,4.934753141905858e-07,4.9743460041781765e-08,0.0,0.7854706722188014
0.004711000000000301,0.007796379259649083,0.0008942207823060518,0.0002865936210378107,0.0030626421552707203,0.0036616435767828806,0.1988271957264706,4.934589547945063e-07,4.974239398509556e-08,0.0,0.7854707816771341
0.004712000000000301,0.007796211275788026,0.0008941805806360697,0.0002865810977849605,0.003062572438030353,0.0036615713740239947,0.1988274490081032,4.934426095472256e-07,4.974132883494898e-08,0.0,0.7854708910416949
0.004713000000000301,0.007796043434686337,0.0008941404141890071,0.0002865685854978593,0.0030625027801527297,0.0036614992325800736,0.19882770207378267,4.93426278435808e-07,4.9740264590538386e-08,0.0,0.7854710003125683
0.004714000000000301,0.007795875736217601,0.0008941002829318991,0.0002865560841662545,0.0030624331815850927,0.0036614271523968955,0.19882795492370137,4.934099614473299e-07,4.9739201251060884e-08,0.0,0.7854711094898381
0.004715000000000301,0.007795708180255528,0.0008940601868318142,0.0002865435937799042,0.003062363642274739,0.00366135513342029,0.19882820755805147,4.933936585688812e-07,4.9738138815714377e-08,0.0,0.7854712185735888
0.0047160000000003015,0.007795540766673947,0.0008940201258558555,0.00028653111432857696,0.0030622941621690123,0.003661283175596136,0.19882845997702503,4.933773697875644e-07,4.973707728369752e-08,0.0,0.7854713275639043
0.004717000000000302,0.007795373495346804,0.0008939800999711589,0.000286518645802052,0.0030622247412153093,0.0036612112788703658,0.19882871218081397,4.933610950904952e-07,4.9736016654209736e-08,0.0,0.7854714364608685
0.004718000000000302,0.007795206366148169,0.0008939401091448953,0.0002865061881901188,0.003062155379361076,0.0036611394431889607,0.19882896416960993,4.933448344648019e-07,4.973495692645123e-08,0.0,0.7854715452645654
0.004719000000000302,0.007795039378952223,0.0008939001533442687,0.00028649374148257724,0.0030620860765538083,0.0036610676684979545,0.1988292159436044,4.93328587897626e-07,4.9733898099622934e-08,0.0,0.7854716539750789
0.004720000000000302,0.00779487253363327,0.0008938602325365163,0.00028648130566923786,0.0030620168327410505,0.003660995954743426,0.1988294675029886,4.933123553761212e-07,4.973284017292656e-08,0.0,0.7854717625924923
0.004721000000000302,0.0077947058300657426,0.0008938203466889106,0.00028646888073992165,0.0030619476478704016,0.003660924301871512,0.19882971884795386,4.932961368874548e-07,4.973178314556461e-08,0.0,0.7854718711168898
0.004722000000000302,0.007794539268124172,0.0008937804957687555,0.00028645646668445956,0.0030618785218895035,0.0036608527098283936,0.19882996997869087,4.932799324188063e-07,4.9730727016740295e-08,0.0,0.7854719795483543
0.0047230000000003025,0.007794372847683227,0.000893740679743391,0.00028644406349269364,0.003061809454746056,0.003660781178560308,0.19883022089539065,4.932637419573687e-07,4.972967178565765e-08,0.0,0.78547208788697
0.004724000000000303,0.0077942065686176796,0.0008937008985801882,0.00028643167115447577,0.003061740446387801,0.0036607097080135365,0.19883047159824355,4.932475654903467e-07,4.972861745152138e-08,0.0,0.7854721961328197
